Tue Jan 16 09:07:54 2018    ikfast_profile.out

         1868569599 function calls (1790298646 primitive calls) in 746.066 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   220/32    0.001    0.000    2.653    0.083 factortools.py:990(dmp_zz_factor)
       73    0.016    0.000    2.641    0.036 cse_main.py:71(cse)
 1700/464    0.006    0.000    2.632    0.006 function.py:159(__new__)
      129    1.991    0.015    2.587    0.020 multinomial.py:22(multinomial_coefficients)
 19673292    2.569    0.000    2.569    0.000 power.py:95(exp)
      521    0.001    0.000    2.564    0.005 polytools.py:3596(parallel_poly_from_expr)
      521    0.011    0.000    2.556    0.005 polytools.py:3601(_parallel_poly_from_expr)
 20674234    2.554    0.000    2.554    0.000 basic.py:622(func)
9176/8692    0.021    0.000    2.535    0.000 evalf.py:983(evalf)
 16287098    2.474    0.000    2.474    0.000 power.py:91(base)
32704/28910    0.131    0.000    2.471    0.000 mul.py:775(as_numer_denom)
  3119/67    0.014    0.000    2.439    0.036 operations.py:261(_eval_evalf)
1118276/714378    0.385    0.000    2.431    0.000 assumptions.py:365(getit)
27328/3088    0.010    0.000    2.399    0.001 evalf.py:1053(_evalf)
     3060    0.004    0.000    2.399    0.001 mul.py:474(_eval_evalf)
  6421759    2.181    0.000    2.181    0.000 {zip}
 35082260    2.165    0.000    2.165    0.000 expr.py:1854(_eval_expand_multinomial)
  1143937    0.356    0.000    2.161    0.000 basic.py:1214(_eval_subs)
249810/176556    0.616    0.000    2.146    0.000 assumptions.py:188(_what_known_about)
  5465537    1.992    0.000    2.110    0.000 numbers.py:989(__new__)
719002/120123    0.567    0.000    2.089    0.000 densearith.py:652(dmp_sub)
   298337    0.111    0.000    2.065    0.000 matrices.py:2585(<lambda>)
 35260288    2.059    0.000    2.059    0.000 expr.py:1845(_eval_expand_power_exp)
 33615139    2.053    0.000    2.053    0.000 expr.py:1851(_eval_expand_mul)
 35261014    2.034    0.000    2.034    0.000 expr.py:1848(_eval_expand_power_base)
 14940355    2.022    0.000    2.022    0.000 symbol.py:69(_hashable_content)
  1743814    1.307    0.000    1.967    0.000 densebasic.py:964(dup_to_dict)
45610713/45609964    1.899    0.000    1.918    0.000 {len}
   897743    1.251    0.000    1.842    0.000 densebasic.py:264(dmp_strip)
       86    0.000    0.000    1.832    0.021 trigonometric.py:1362(eval)
   473420    1.711    0.000    1.711    0.000 compatibility.py:115(K)
880805/879222    0.093    0.000    1.662    0.000 {max}
 17928412    1.635    0.000    1.635    0.000 basic.py:204(_hashable_content)
     2766    0.004    0.000    1.632    0.001 polytools.py:892(as_expr)
     3918    0.004    0.000    1.608    0.000 expr.py:935(as_real_imag)
  4489823    1.589    0.000    1.589    0.000 {built-in method __new__ of type object at 0x561f3012bbc0}
       61    0.000    0.000    1.586    0.026 sqfreetools.py:214(dmp_sqf_part)
2338/1154    0.001    0.000    1.573    0.001 function.py:184(_should_evalf)
      214    0.001    0.000    1.573    0.007 add.py:395(as_real_imag)
2238/1054    0.001    0.000    1.569    0.001 function.py:178(<genexpr>)
      689    0.000    0.000    1.544    0.002 expr.py:761(as_coefficient)
  5696111    1.039    0.000    1.527    0.000 {method 'setdefault' of 'dict' objects}
        2    0.000    0.000    1.379    0.690 ikfast.py:11952(generate)
        2    0.000    0.000    1.379    0.690 ikfast_generator_cpp.py:1567(generateBranchConds)
   113223    0.056    0.000    1.358    0.000 {_functools.reduce}
   263/37    0.001    0.000    1.351    0.037 ikfast.py:1508(checkForDivideByZero)
   142/19    0.000    0.000    1.341    0.071 ikfast.py:1226(SimplifyAtan2)
   217990    0.074    0.000    1.302    0.000 matrices.py:2584(<lambda>)
124645/9290    0.211    0.000    1.283    0.000 densebasic.py:921(dmp_from_dict)
        3    0.002    0.001    1.277    0.426 ikfast.py:10422(SolvePairVariables)
    30956    0.048    0.000    1.267    0.000 function.py:135(_eval_subs)
    15116    0.013    0.000    1.195    0.000 polyclasses.py:146(__init__)
1761/1652    0.005    0.000    1.171    0.001 cse_opts.py:32(_eval_subs)
  1107255    0.778    0.000    1.169    0.000 power.py:243(as_base_exp)
177653/13044    0.044    0.000    1.166    0.000 {any}
       35    0.000    0.000    1.165    0.033 ikfast_generator_cpp.py:1839(writeEquations)
     3799    0.004    0.000    1.164    0.000 basic.py:847(has)
        1    0.000    0.000    1.145    1.145 ikfast.py:11724(generate)
        1    0.000    0.000    1.145    1.145 ikfast_generator_cpp.py:1328(generatePolynomialRoots)
    10074    0.004    0.000    1.123    0.000 basic.py:889(<genexpr>)
165292/6275    0.118    0.000    1.115    0.000 basic.py:871(search)
     3864    0.003    0.000    1.100    0.000 polynomialring.py:38(__call__)
     1838    0.110    0.000    1.059    0.001 function.py:1368(count_ops)
210033/209939    0.263    0.000    1.057    0.000 numbers.py:678(__add__)
